,Varianta,Procent varianta,Varianta cumulata,Procent cumulat
comp1,8.3835245179501,52.3970282371881,8.3835245179501,52.3970282371881
comp2,1.7256011063814287,10.785006914883924,10.10912562433153,63.182035152072025
comp3,1.2824290983845865,8.015181864903662,11.391554722716116,71.19721701697569
comp4,1.0672925355587441,6.670578347242148,12.45884725827486,77.86779536421783
comp5,0.9693738365528399,6.058586478455247,13.4282210948277,83.92638184267307
comp6,0.6188378940643693,3.8677368379023065,14.047058988892068,87.79411868057537
comp7,0.5466076801885343,3.416298001178338,14.593666669080603,91.2104166817537
comp8,0.3703707950083458,2.3148174688021603,14.96403746408895,93.52523415055586
comp9,0.27745439155854085,1.7340899472408797,15.24149185564749,95.25932409779674
comp10,0.2117337465309288,1.3233359158183042,15.453225602178419,96.58266001361504
comp11,0.20366332755621777,1.2728957972263604,15.656888929734636,97.8555558108414
comp12,0.15958809554019643,0.9974255971262272,15.816477025274832,98.85298140796762
comp13,0.1042544071768412,0.6515900448552572,15.920731432451673,99.50457145282287
comp14,0.04975700989542889,0.31098131184643046,15.9704884423471,99.8155527646693
comp15,0.029335092247840946,0.18334432654900581,15.999823534594942,99.99889709121831
comp16,0.00017646540506210387,0.0011029087816381488,16.000000000000004,99.99999999999994
