Tara,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16
Afghanistan,-5.327309924216829,-1.1514025521182543,0.09238799505414694,-1.0322902192451542,0.42717219769138576,1.1441414079416674,0.35051908968088985,0.05645293930019827,0.3714300705461878,0.39571013878984,-1.8436597987481023,-0.01882814484128655,0.3795026888375402,0.25562231827058934,0.05029960086853424,0.022378611770333068
Albania,1.1192809884640862,-0.6833440249878577,-0.14680679039432104,-0.6099166404190336,0.013050504454159105,1.4018999636531635,0.22900222161976097,0.6711946773206918,0.3684662642292869,0.029169396221216348,0.24740646596549856,-0.41297172327580656,-0.29395649732609114,0.19354849615576644,-0.09620813318538275,0.0018220571306913236
Algeria,1.072594834131295,-0.8685888569692161,0.5981210256520494,-0.04298414908309526,-0.28248847866801297,-0.1598813974336247,-0.05825153167477409,-0.7004880122255007,-0.109533748056872,0.10566334210203908,0.34005712787885184,-0.3455609312887561,0.2229967033261455,0.09296693868349375,-0.10399825846430225,-0.00521090502226593
Andorra,2.3245052151877266,-0.4096005557154933,0.046170157964810325,1.3789118571657444,-0.5220156460884275,-0.5186193624699058,-1.1295456799063093,-0.1844799155524265,0.05532433920059371,0.1415651896923058,0.2915020072566185,-0.6173255570220479,0.24606233238517602,-0.4446534065011874,-0.014525087313939096,0.004814282423943354
Angola,-5.788790483894647,-0.5624521807271704,-1.4777158040107492,-0.26641056061972507,0.3302261393929079,0.8347772355463823,0.2199227401993066,-1.1568706543279712,-0.37160063957443507,0.8596179614959594,-0.27756423037283207,0.1657567695710611,0.25543709502054895,0.26223908133779716,0.037962561115338064,-0.001956884278327121
Antigua and Barbuda,1.551262655818022,0.3130146595446594,0.003848561020094326,0.3657697426535406,-0.37689752584103886,0.30484903606824276,-0.6526400075313107,1.0780341647654352,-0.3091857205247627,1.5823157695945933,-0.45825489940849057,0.7470333968597158,-0.3013230369473258,0.18890956961946073,0.06889491769780365,-0.0013168233654181141
Argentina,2.6985687735063726,0.6000657704055604,-0.6654407674456262,0.3749250609109024,0.20578451517906168,-0.019710818368562533,0.003957378585193592,-0.22894712883709822,-0.18230740144988167,-0.17176591817085132,-0.15418765639612156,0.13687664980544442,0.05251368180235264,0.12979754001507013,0.15887825109332807,-0.0010923769535015051
Armenia,1.0916293168710918,-0.5163952024739262,0.056712498337689925,-0.6662399851125348,-0.10022385283501033,0.9682140725726076,-0.27016159401015993,0.7633332839507707,0.29218352653927804,-0.31294084640659836,0.07648434394693276,-0.2812621856750562,-0.14778136694483893,0.06608306129305778,0.16528632053546505,-0.030006115593442257
Australia,3.919948421965301,0.4712246184433639,-0.7076801851864958,0.388512163249699,0.14084720296788508,-0.901798884964292,-0.37612654106477,-0.25660468216851273,-0.08987656287841235,-0.2677180400678404,-0.12701565798131592,-0.03856723173749793,0.02995976142147768,0.04252931867054089,-0.122889375654819,-0.005277749114164842
Austria,3.5343316698733,0.4569728506814698,-0.4455723603239116,0.3809569025335613,0.08332746831562535,-0.4941495498811854,0.005328416204908893,-0.060676784657708885,-0.034471895589300444,-0.05419434274050702,-0.18055228718516203,0.11865453324056714,-0.06342800417246308,-0.012143216782633987,-0.04952253409112631,-0.0014778047431125807
Azerbaijan,-0.10032574956608803,-1.2090760564756038,1.5338910157662433,-0.8071008779571998,-0.6631848936228149,1.2869961365901659,0.08604335648963835,1.0235447017545478,0.06877420857159802,-0.15375732380388674,0.051797343558554275,-0.2678052233145806,0.1632419046633262,-0.06468372693113791,0.08630511707626441,-0.008885612851307628
Bahamas,2.079954054029272,0.9099472767143615,-0.6284425193027878,-0.8455255958019904,0.3206430737888668,-1.5695499934988533,-0.33184792284879533,-0.3272526383858188,-0.5544149328176468,-0.0735065201548131,-0.22731055750588586,-0.05007490612994821,0.4003359010780586,0.03959893590499355,0.06449497443618019,-0.008576756937269543
Bahrain,2.891225724141148,0.37628305550209584,-0.46047437168441024,-0.39558649597533596,0.09750973555362055,-0.6971903589722079,-0.2815292593231706,0.42401010219478047,0.18499537236484664,0.019787702518885893,-0.1416017388715802,0.346567732803919,-0.08515441533327954,0.5777521269100083,-0.03212538263403944,0.014976356928292361
Bangladesh,-1.2062264949647294,-0.9129860422392746,1.021779910598061,-0.2281999249819644,-0.3746755772180406,0.485831849481132,-0.10782797033157768,-0.9549515481314623,0.2442530320126195,-0.3960418130795143,0.0904193023505437,-0.15331622320399166,-0.2863713627477806,0.17029896831429947,-0.40797821045387905,-0.008122553175023396
Barbados,2.9344772547438196,0.6835662185989485,0.22602691444601228,1.2126902111750046,-0.10588054084217184,0.7604818510068908,0.8349476777712158,0.11919930330167006,-0.08124348266200863,0.29520689743352546,-0.34546379911349373,0.14240358507804698,-0.13175428380295315,0.011432506055703732,0.11285621649552945,-0.006529532912436703
Belarus,0.5716065767687368,0.33588676329442235,-2.096349599538876,-3.448278236020339,1.1165090210139779,-1.0941449349334729,0.17069330904856195,0.3128436479722842,0.09100665261519034,-0.040966406382435955,0.20869344776675747,0.14368464259015057,0.2328413681884045,-0.27647932494208755,0.08220273588329502,0.00257070673058235
Belgium,3.3896979441239754,0.6492479910427176,-1.0974682345874118,0.4120226353245402,0.23827541733618215,-0.4890000302355843,-0.564920999455711,-0.07049226244594496,-0.12701472235827294,0.06340334695694469,-0.16633822177902693,0.08952566902939328,-0.11040807924550569,0.03207482484782094,-0.0545594596334487,0.0019513503108425896
Belize,1.525132864436835,0.4834706109880648,-0.9880730425505925,-0.6205948709202331,0.3968651405060296,-0.09012935511672253,-0.08710883355793962,-0.09587864691987087,-0.3750121959036529,-0.13498516628821802,-0.1892609147324564,0.026482859045951854,0.13706136619792772,0.2593264689809727,0.10325602584482986,0.010268518365851857
Benin,-3.682612381844697,-1.442262011912003,-1.2292358836553288,1.4349722801545175,-0.6874471103563388,-0.7091673630945411,0.32414307095609435,1.063060510317131,-0.178471943423735,0.10098087233735996,0.18298348472557424,-0.5537673073306895,0.08985097355632093,0.2826333396353181,0.10333987518971909,-0.00371967487734957
Bhutan,-1.2070392705889061,-1.184386358824315,0.9314647697758625,-0.5175601972104904,-0.4279849930221669,0.5704342698641613,-0.2381841752129366,-0.7398045132337253,-0.240674396105271,0.21335141574204852,0.3619174334772296,-0.4273394380974629,-0.18682837267776078,0.04895697120949285,-0.02616591833225257,0.015863480261910104
Bolivia,-0.6286523355028624,0.5790091782014238,-2.367223938386439,0.7054772300665673,0.511673035815775,2.5431765377465925,-2.2119058382588004,-0.05557332155999528,-0.19551953042784903,-0.4288205129879466,0.2783021816714256,-0.0016402778703691536,-0.1691419985688866,0.37197248450645853,0.039113896381560626,-0.002875821316314589
Bosnia and Herzegovina,2.2931485805067338,0.01255185006883234,0.45221693382274863,-0.3016961523508455,-0.1285207053418053,0.5358061851059412,0.8639611456810276,0.8803718567030167,0.5715370717961337,0.4090763608993827,-0.029099511266727798,0.5899932363500041,-0.14695638142140743,0.09697417372302077,-0.05399179769827896,-0.008372742465755721
Botswana,-3.8349265084015616,6.837416469723781,1.9323899656235337,-0.31648441375293623,0.6373800452172091,-0.57991687131078,0.6280448176536146,0.11890304516258435,-0.09657865671494795,0.15526249707243303,-0.6070469345256145,-0.5712937249990503,0.09070855550498359,0.1596906053777956,-0.24078974689172195,0.009375196560405549
Brazil,0.4776141938691519,-0.44970383079456877,0.040015359648581876,0.014851000770264225,-0.243147852776239,0.7587923071287604,-0.61540635197413,-0.1007009636659234,-0.456306598031173,0.5378162533627691,0.29475771754871744,-0.058004121890697605,-0.020338063848974245,-0.13865693792122813,0.11804655397690333,0.0027739895516401642
Brunei Darussalam,3.3539265123789024,0.5884443117467203,-0.08153625220649402,0.24369918526633932,0.106888336639573,-0.6265913638894417,0.3564818459744959,-0.33320709861031755,-0.006303266921885709,-0.639500416999397,-0.21160607761793043,0.08811023502581185,-0.07892107905425147,0.47415680759661677,0.04997844328743301,0.004192803289525667
